objID;RAdeg;DEdeg;XposW1;XposW2;YposW1;YposW2;FW1;FW2;e_XposW1;e_XposW2;e_YposW1;e_YposW2;e_FW1;e_FW2;q_W1;q_W2;rchi2W1;rchi2W2;fFW1;fFW2;FW1lbs;FW2lbs;e_FW1lbs;e_FW2lbs;fwhmW1;fwhmW2;SpModW1;SpModW2;e_SpModW1;e_SpModW2;skyW1;skyW2;RAW1deg;RAW2deg;DEW1deg;DEW2deg;coaddID;detIDW1;detIDW2;nmW1;nmW2;PrimW1;PrimW2;FlagsW1;FlagsW2;f_FlagsW1;f_FlagsW2;Prim
0827m334o0019514;82.1854829;-33.1399983;1254.258;1254.184;1696.751;1696.812;1.32308e+02;1.40016e+03;0.083;0.034;0.081;0.033;6.32134e+00;2.68120e+01;1.00000;1.00000;5.1299e-01;5.9010e-01;0.8745;0.9759;1.32091e+02;1.39451e+03;6.46067e+00;2.74753e+01;2.6388;2.8552;-1.720726e-03;-5.742908e-04;1.780708e-03;0.000764;-4.68713e-01;-6.96018e-01;82.1854829;82.1854274;-33.1399983;-33.1400544;0827m334;0827m334w1o0028092;0827m334w2o0018503;159;164;1;1;0;0;0;0;1
1620p605o0010146;162.3954341;60.3414227;714.845;714.855;769.106;769.044;1.15311e+03;1.38604e+03;0.011;0.034;0.010;0.032;8.22464e+00;2.62501e+01;1.00000;1.00000;1.4918e+00;1.2370e+00;0.9734;0.9753;1.15965e+03;1.39990e+03;8.37999e+00;2.68915e+01;2.6229;2.8447;-8.068085e-04;-2.013683e-03;3.053053e-04;0.000762;-1.02737e+00;-2.33308e+00;162.3954341;162.3955307;60.3414227;60.3414295;1620p605;1620p605w1o0015880;1620p605w2o0009817;182;175;1;1;0;0;0;0;1
2606p227o0023536;261.2881722;22.9268927;1300.456;1300.427;235.735;235.747;2.51535e+02;8.86556e+02;0.046;0.054;0.044;0.050;6.67717e+00;2.58595e+01;1.00000;1.00000;9.7834e-01;1.1830e+00;0.7463;0.9323;2.52460e+02;8.70276e+02;6.82940e+00;2.65438e+01;2.6356;2.8509;-1.243412e-03;-1.753807e-03;1.007826e-03;0.001139;-1.02437e+00;-5.77715e-01;261.2881722;261.2881616;22.9268927;22.9268709;2606p227;2606p227w1o0031756;2606p227w2o0021746;160;157;1;1;0;0;0;0;1
0847m031o0024066;84.7532805;-2.3616031;1897.076;1896.902;961.987;961.982;2.77460e+02;4.06483e+02;0.053;0.136;0.051;0.129;8.48366e+00;2.93359e+01;1.00000;1.00000;7.2555e-01;5.9618e-01;0.8973;0.9261;2.83640e+02;4.28468e+02;8.66790e+00;3.01006e+01;2.6205;2.8429;4.819036e-04;-1.596808e-03;1.152154e-03;0.002794;6.88348e+00;3.69951e+00;84.7532805;84.7532843;-2.3616031;-2.3617361;0847m031;0847m031w1o0030199;0847m031w2o0023225;130;132;1;1;0;0;0;0;1
1608p348o0017882;161.5709018;35.2182146;1531.904;1531.902;212.214;212.236;1.41193e+03;1.65960e+03;0.011;0.034;0.010;0.032;9.37654e+00;3.08258e+01;1.00000;1.00000;9.6250e-01;1.1436e+00;0.9983;0.9992;1.41344e+03;1.66515e+03;9.55547e+00;3.15978e+01;2.6307;2.8480;-4.934669e-04;-2.712071e-03;2.819522e-04;0.000742;-9.90900e-01;-2.55790e+00;161.5709018;161.5708805;35.2182146;35.2182134;1608p348;1608p348w1o0031527;1608p348w2o0017534;140;131;1;1;0;0;0;0;1
2512p196o0029864;250.6260282;20.3467314;1887.397;1887.342;1728.672;1728.645;1.59405e+03;1.99574e+03;0.009;0.026;0.008;0.024;9.34016e+00;2.89411e+01;1.00000;1.00000;1.3339e+00;9.3272e-01;0.9946;0.9942;1.59820e+03;1.96929e+03;9.51553e+00;2.96479e+01;2.6303;2.8462;-5.273819e-04;-5.488992e-04;2.577910e-04;0.000585;-1.32805e+00;-1.24921e+00;250.6260282;250.6260501;20.3467314;20.3466893;2512p196;2512p196w1o0043358;2512p196w2o0027974;148;148;1;1;0;0;0;0;1
0684p227o0013958;69.1149952;22.6638974;956.401;956.477;179.851;179.907;1.64132e+03;2.16824e+03;0.011;0.031;0.010;0.029;1.09386e+01;3.66153e+01;1.00000;1.00000;1.7045e+00;1.5065e+00;0.8966;0.9610;1.64208e+03;2.16962e+03;1.11512e+01;3.75317e+01;2.6339;2.8593;9.510517e-04;2.854109e-03;2.754263e-04;0.000664;-3.55853e+00;-2.05431e+00;69.1149952;69.1149489;22.6638974;22.6639559;0684p227;0684p227w1o0020493;0684p227w2o0013032;118;110;1;1;0;0;0;0;1
1745p333o0015490;174.6098623;33.5205123;1288.899;1288.906;1011.962;1011.954;2.67063e+03;3.24779e+03;0.006;0.018;0.006;0.017;1.11323e+01;3.34516e+01;1.00000;1.00000;1.7697e+00;1.5655e+00;0.9965;0.9959;2.67694e+03;3.27400e+03;1.13312e+01;3.42488e+01;2.6390;2.8592;-6.943941e-05;-1.794338e-03;1.907219e-04;0.000426;8.19758e-01;2.39068e+00;174.6098623;174.6098696;33.5205123;33.5205176;1745p333;1745p333w1o0026909;1745p333w2o0015114;139;138;1;1;0;0;0;0;1
2452p302o0009742;245.3613196;29.9993147;644.519;644.377;861.010;860.957;1.01707e+03;1.21964e+03;0.012;0.038;0.011;0.035;7.88775e+00;2.53165e+01;1.00000;1.00000;1.3106e+00;4.9824e-01;0.9849;0.9928;1.01975e+03;1.20331e+03;8.04312e+00;2.59479e+01;2.6248;2.8417;-8.775592e-04;-2.594590e-04;3.302071e-04;0.000827;-6.24988e-01;1.26014e+00;245.3613196;245.3613656;29.9993147;29.9992056;2452p302;2452p302w1o0014649;2452p302w2o0009275;183;178;1;1;0;0;0;0;1
1279p348o0009864;127.3674542;34.6647622;805.905;805.929;1617.288;1617.287;1.57820e+03;1.93839e+03;0.010;0.031;0.009;0.029;1.00838e+01;3.29438e+01;1.00000;1.00000;2.0039e+00;4.5659e-01;0.9977;0.9984;1.58027e+03;1.92419e+03;1.02777e+01;3.37607e+01;2.6214;2.8396;-5.580187e-04;-1.063943e-04;2.718066e-04;0.000677;-1.33555e+00;-7.66095e-01;127.3674542;127.3674553;34.6647622;34.6647810;1279p348;1279p348w1o0016650;1279p348w2o0009544;118;114;1;1;0;0;0;0;1
